description,price,rating,review_count,url
"Dell Inspiron 15.6"" HD Laptop, Intel 4205U Processor, 8GB DDR4 Memory, 1TB HDD, Online Class Ready, Webcam, WiFi, HDMI, Bluetooth, KKE Mousepad, Win10 Home, Black",499,4.5 out of 5 stars,105,https://www.amazon.com/gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_aps_sr_pg1_1?ie=UTF8&adId=A05756035NQQD4LNM95U&url=%2FDell-Inspiron-Processor-Bluetooth-Mousepad%2Fdp%2FB08HY7KWJ6%2Fref%3Dsr_1_1_sspa%3Fdchild%3D1%26keywords%3Ddell%2Blaptop%26qid%3D1608514304%26sr%3D8-1-spons%26psc%3D1&qualifier=1608514303&id=2550187228074714&widgetName=sp_atf
"Dell Inspiron 17 3000 17.3"" Full HD Laptop Computer, 4-Core Intel Core i7-1065G7 1.30GHz, 16GB RAM, 512GB SSD, DVD, Webcam, HDMI, Win 10, TMLTT Mousepad",899,,,https://www.amazon.com/gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_aps_sr_pg1_1?ie=UTF8&adId=A05458691QL8GWUNI7KDJ&url=%2FDell-Inspiron-17-3000-i7-1065G7%2Fdp%2FB08PF8WC4N%2Fref%3Dsr_1_2_sspa%3Fdchild%3D1%26keywords%3Ddell%2Blaptop%26qid%3D1608514304%26sr%3D8-2-spons%26psc%3D1&qualifier=1608514303&id=2550187228074714&widgetName=sp_atf
"2021 Newest DELL inspiron 15 3000 PC Laptop, 15.6"" HD Anti-Glare Non-Touch Display, Intel 2-Core 4205U Processor, 8GB RAM, 128GB PCIe NVMe SSD, WiFi, Webcam, HDMI, Bluetooth, Win 10 S + Oydisen Cloth",449,3.8 out of 5 stars,4,https://www.amazon.com/inspiron-Anti-Glare-Non-Touch-Processor-Bluetooth/dp/B08P5ZWCY3/ref=sr_1_3?dchild=1&keywords=dell+laptop&qid=1608514304&sr=8-3
"Dell Inspiron 15.6"" HD Laptop, Intel 4205U Processor, 8GB DDR4 Memory, 1TB HDD, Online Class Ready, Webcam, WiFi, HDMI, Bluetooth, KKE Mousepad, Win10 Home, Black",499,4.5 out of 5 stars,105,https://www.amazon.com/Dell-Inspiron-Processor-Bluetooth-Mousepad/dp/B08HY7KWJ6/ref=sr_1_4?dchild=1&keywords=dell+laptop&qid=1608514304&sr=8-4
"Fast Dell Latitude E5470 HD Business Laptop Notebook PC (Intel Core i5-6300U, 8GB Ram, 256GB Solid State SSD, HDMI, Camera, WiFi, SC Card Reader) Win 10 Pro (Renewed).",414,4.2 out of 5 stars,471,https://www.amazon.com/Dell-Latitude-E5470-Certified-Refurbished/dp/B07D5N1PFY/ref=sr_1_5?dchild=1&keywords=dell+laptop&qid=1608514304&sr=8-5
"2020 Newest Dell Inspiron 15.6"" HD Business Laptop Intel 4205U, 12GB RAM, 256GB PCIe SSD + 1TB HDD Wireless AC, Bluetooth, Win10 Pro 32GB PCS USB Card",649,4.6 out of 5 stars,68,https://www.amazon.com/Dell-Inspiron-Business-Wireless-Bluetooth/dp/B08DTSBBF2/ref=sr_1_6?dchild=1&keywords=dell+laptop&qid=1608514304&sr=8-6
"2021 Newest Dell Inspiron 15.6"" HD Touchscreen Business Laptop, 10th Gen Intel Core i7-1065G7 Up to 3.9GHz (＞i7-10510U), 16GB RAM, 512GB PCIe SSD, Webcam, Zoom Meeting, Win10 W/ GM Accessories",799,4.4 out of 5 stars,38,https://www.amazon.com/gp/slredirect/picassoRedirect.html/ref=pa_sp_mtf_aps_sr_pg1_1?ie=UTF8&adId=A0992419MP8YKI38RVWL&url=%2FDell-Touchscreen-i7-1065G7-%25EF%25BC%259Ei7-10510U-Accessories%2Fdp%2FB08Q7DTP9W%2Fref%3Dsr_1_7_sspa%3Fdchild%3D1%26keywords%3Ddell%2Blaptop%26qid%3D1608514304%26sr%3D8-7-spons%26psc%3D1&qualifier=1608514303&id=2550187228074714&widgetName=sp_mtf
"Dell Inspiron 3000 Series 15.6"" HD Notebook - Intel Celeron 4205U 1.8GHz - 4GB RAM 128GB PCIe SSD - Webcam - Windows 10 Home in S Mode, Black",395,4.3 out of 5 stars,3,https://www.amazon.com/Dell-Inspiron-3000-15-6-Notebook/dp/B08MRH5RW3/ref=sr_1_8?dchild=1&keywords=dell+laptop&qid=1608514304&sr=8-8
"2021 Newest Dell Inspiron 15 3593 Laptop, 15.6"" HD Touchscreen, 10th Gen Intel Quad-Core i7-1065G7 Processor up to 3.90 GHz, 16GB RAM, 512GB PCIe NVMe SSD, Wi-Fi, Webcam, Windows 10 S + Oydisen Cloth",799,,,https://www.amazon.com/Dell-Inspiron-3593-Touchscreen-Quad-Core/dp/B08NW31W7D/ref=sr_1_9?dchild=1&keywords=dell+laptop&qid=1608514304&sr=8-9
"Dell Inspiron 17 3793 2020 Premium 17.3” FHD Laptop Notebook Computer, 10th Gen 4-Core Intel Core i5-1035G1 1.0 GHz, 16GB RAM, 512GB SSD + 1TB HDD, DVD,Webcam,Bluetooth,Wi-Fi,HDMI, Win 10 Home",860,4.5 out of 5 stars,221,https://www.amazon.com/Dell-Inspiron-Notebook-i5-1035G1-Bluetooth/dp/B082MSPDL8/ref=sr_1_10?dchild=1&keywords=dell+laptop&qid=1608514304&sr=8-10
